Token,POS
le,PART
mekgatlo,N04
ya,CPOSS04
Afrika,N09
Borwa,N14
e,CS09
leng,VCOP
teng,NLOC
ha,CONJ
jwale,ADV
ekasitana,CONJ
le,CONJ
e,CS09
tla,PART
hlahella,V
",",ZM
le,PART
baahi,N02
le,PART
mekgatlo,N04
ya,CPOSS04
dinaheng,N10
tse,ADJC10
ding,ADJ10
ba,CS02
hlokang,V
ditshebeletso,N10
ho,CN15
tswa,V
mmusong,N03
wa,CPOSS03
Afrika,N09
Borwa,N14
.,ZE
,
Karolo,N09
ya,CPOSS09
bohlokwa,N14
ya,CPOSS09
basebedisi,N02
e,CS09
bopilwe,V
ka,PART
mekga,N04
e,CS04
jwalo,ADV
ka,PART
ditsi,N10
tsa,CPOSS10
merero,N04
e,CS04
fapafapaneng,V
tsa,CPOSS10
setjhaba,N07
e,CS04
leng,VCOP
di-Multi-purpose,N10
Community,RV
Centres,N10
(,ZPL
MPCCs,N10
),ZPR
",",ZM
Basebeletsi,N02
ba,CPOSS02
Ntshetsopele,N09
ya,CPOSS09
Setjhaba,N07
e,CS09
leng,VCOP
di-Community,N10
Development,N09
Workers,N02
(,ZPL
CDWs,N10
),ZPR
le,PART
Batho,N02
Pele,NLOC
Gateway,N09
Call,N09
Centre,N09
",",ZM
tse,CS10
tla,PART
thusa,VAUX
ho,CN15
nolofatsa,V
tshebediso,N09
ya,CPOSS09
weposaete,N09
ho,PART
bao,CD02
ba,CS02
sa,MNEG
kgoneng,VAUX
ho,CN15
itshebedisetsa,V
Inthanete,N09
.,ZE
Boholo,N14
ba,CPOSS14
tlhahisoleseding,N09
e,CS09
weposaeteng,N09
,
Tlhahisoleseding,N09
ka,PART
ditshebeletso,N10
tsa,CPOSS10
mmuso,N03
,
Weposaete,N09
e,CS09
na,VCOP
le,PART
tlhahisoleseding,N09
e,CS09
mabapi,N06
le,PART
ditshebeletso,N10
tsa,CPOSS10
mmuso,N03
tseo,CD10
ho,CN15
fanwang,V
ka,PART
tsona,PROEMP10
boemong,N14
ba,CPOSS14
mmuso,N03
wa,CPOSS03
naha,N09
.,ZE
,
Tlhahisoleseding,N09
ya,CPOSS09
ditshebeletso,N10
e,CS09
hlophisitswe,V
ka,PART
ho,CN15
ya,V
ka,PART
mefuta,N04
e,ADJC04
meraro,ADJ04
ya,CPOSS04
ditshebeletso,N10
:,ZM
,
Ditshebeletso,N10
tsa,CPOSS10
batho,N02
:,ZM
ditshebeletso,N10
tsa,CPOSS10
baahi,N02
ba,CPOSS02
naha,N09
ya,CPOSS09
Afrika,N09
Borwa,N14
ba,CS02
hlophisitsweng,V
ka,PART
ho,CN15
ya,V
ka,PART
diketsahalo,N10
sa,CPOSS07
bona,PROEMP02
bophelong,N14
,
Ditshebeletso,N10
tsa,CPOSS10
mekgatlo,N04
:,ZM
ditshebeletso,N10
tse,CS10
tshwanetseng,V
bakeng,N07
sa,CPOSS07
mekgatlo,N04
le,PART
dikgwebo,N10
,
Ditshebeletso,N10
tsa,CPOSS10
baabi,N02
ba,CPOSS02
dinaheng,N10
tsa,CPOSS10
matjhaba,N06
:,ZM
tlhahisoleseding,N09
eo,CD09
hantlentle,ADV
e,CS09
leng,VCOP
ya,CPOSS09
baahi,N02
ba,CS02
dinaha,N10
tse,ADJC10
ding,ADJ10
ba,CS02
hlokang,V
ditshebeletso,N10
tse,CS10
tshwanetseng,VAUX
ho,CN15
tswa,V
mmusong,N03
wa,CPOSS03
Afrika,N09
Borwa,N14
.,ZE
,
Se,ADJC07
seng,ADJ07
le,PART
se,ADJC07
seng,ADJ07
sa,CPOSS07
dihlopha,N08
tsena,CD10
se,CS07
hlophisitswe,V
hape,ADV
ka,PART
mokgwa,N03
o,CS03
tsamaelanang,V
le,PART
diketsahalo,N10
tsa,CPOSS10
bophelo,N14
ka,PART
tatellano,N09
ya,CPOSS09
tsona,PROPOSS10
(,ZPL
diketsahalo,N10
tsa,CPOSS10
sebele,N07
tse,CS10
hlahelang,V
baahi,N02
ba,CPOSS02
naha,N09
kapa,CONJ
kgwebo,N09
),ZPR
.,ZE
,
Diketsahalo,N10
tsa,CPOSS10
bophelo,N14
di,CS10
boele,VAUX
di,CS10
hlophiswe,V
hape,ADV
ka,PART
ho,CN15
ya,V
ka,PART
mehato,N04
ya,CPOSS04
bophelo,N14
.,ZE
,
Tlhahisoleseding,N09
bakeng,N07
sa,CPOSS07
tshebeletso,N09
ka,PART
nngwe,ADJ09
e,CS09
hlophisitswe,V
ka,PART
ho,CN15
ya,V
ka,PART
dintlha,N10
tse,CS10
supa,N09
tsa,CPOSS10
bohlokwa,N14
",",ZM
e,CS09
leng,VCOP
tlhaloso,N09
",",ZM
mehato,N04
e,CS04
lokelwang,VAUX
ho,CN15
latelwa,V
",",ZM
melao,N04
e,CS04
sebediswang,V
",",ZM
maemo,N06
a,CPOSS06
tshebeletso,N09
;,ZM
ditjeo,N10
",",ZM
diforomo,N10
tse,CS10
lokelwang,VAUX
ho,CN15
tlatswa,V
",",ZM
le,PART
dintlha,N10
tsa,CPOSS10
bao,CD02
ho,CSINDEF
ka,PART
iteangwang,V
le,PART
bona,PROEMP02
.,ZE
,
Tlhahisoleseding,N09
e,CS09
amanang,V
le,PART
hona,PROEMP15
,
Karolo,N09
ena,CD09
ya,CPOSS09
weposaete,N09
",",ZM
e,CS09
bontshwang,V
ho,PART
right,RV
navigation,RV
bar,RV
",",ZM
e,CS09
na,VCOP
le,PART
di-link,N10
tsa,CPOSS10
diweposaete,N10
tse,CS10
amanang,V
le,PART
ketsahalo,N09
eo,CD09
.,ZE
,
Dipuo,N10
,
Phatlalatso,N09
ena,CD09
ya,CPOSS09
websaete,N09
e,CS09
fana,V
ka,PART
dipuo,N10
tse,CS10
leshome,N05
le,PART
motso,N03
o,CS03
le,VCOP
mong,ADJ03
",",ZM
e,CS09
leng,VCOP
Senyesemane,N07
",",ZM
Afrikanse,N07
",",ZM
seNdebele,N07
",",ZM
seXhosa,N07
",",ZM
seZulu,N07
",",ZM
Sepedi,N07
",",ZM
Sesotho,N07
",",ZM
seTsonga,N07
",",ZM
seVenda,N07
",",ZM
Siswati,N07
le,PART
Setswana,N07
.,ZE
,
Tlhahisoleseding,N09
ya,CPOSS09
tshebeletso,N09
e,CS09
ngotswe,V
pele,NLOC
ka,PART
puo,N09
ya,CPOSS09
Senyesemane,N07
",",ZM
ka,PART
mora,N18
moo,CD18
ya,CPOSS09
fetolelwa,V
dipuong,N10
tse,ADJC10
ding,ADJ10
.,ZE
,
Tlhahisoleseding,N09
ya,CPOSS09
ditshebeletso,N10
e,CS09
ngotsweng,V
ka,PART
dipuo,N10
tse,ADJC10
ding,ADJ10
e,CS09
kengwa,V
ka,PART
mora,N18
ho,CN15
ba,CS02
e,CO09
fetolelwe,V
.,ZE
,
Dintlha,N10
tse,ADJC10
ding,ADJ10
tsa,CPOSS10
weposaete,N09
,
Sebedisa,V
leqephe,N05
la,CPOSS05
Contact,RV
us,RV
bakeng,N07
sa,CPOSS07
ho,CN15
tshwaela,V
kapa,CONJ
ho,CN15
botsa,V
ka,PART
weposaete,N09
ya,CPOSS09
Ditshebeletso,N10
tsa,CPOSS10
Mmuso,N03
.,ZE
,
Link,N09
ya,CPOSS09
www.gov.za,N09
e,CS09
etsa,V
hore,CONJ
o,CSPERS
kgone,VAUX
ho,CN15
fihlela,V
leqephe,N05
la,CPOSS05
South,NPP
African,RV
Government,RV
Online,RV
",",ZM
le,CS05
etsang,V
hore,CONJ
o,CSPERS
fihlele,V
weposaete,N09
ena,CD09
(,ZPL
weposaete,N09
ya,CPOSS09
Ditshebeletso,N10
tsa,CPOSS10
Mmuso,N03
),ZPR
le,PART
weposaete,N09
ya,CPOSS09
Tlhahisoleseding,N09
ya,CPOSS09
Mmuso,N03
(,ZPL
www.info.gov.za,RV
),ZPR
.,ZE
,
Site,RV
Mape,RV
fana,V
ka,PART
moralo,N03
o,CS03
bonahalang,V
wa,CPOSS03
sebopeho,N07
sa,CPOSS07
weposaete,N09
.,ZE
,
Yona,PROEMP09
e,CS09
hlahisitswe,V
ka,PART
tatellano,N09
ya,CPOSS09
dintlha,N10
",",ZM
e,CS09
arola,V
dintlha,N10
tsa,CPOSS10
weposaete,N09
ho,CN15
ba,CS02
dihlooho,N08
tse,CS10
itseng,V
tse,CS10
ikgethang,V
.,ZE
,
Ka,PART
hoo,CD17
e,CS09
etsa,V
hore,CONJ
o,CSPERS
kgone,VAUX
ho,CN15
tseba,V
sebopeho,N07
sa,CPOSS07
dikahare,N10
tsa,CPOSS10
weposaete,N09
hantle,ADV
.,ZE
,
Leqephe,N05
la,CPOSS05
ho,CN15
qala,V
le,CS05
fana,V
ka,PART
lenane,N05
la,CPOSS05
ditshebeletso,N10
tse,CS10
sebediswang,V
fihlelwang,V
haholo,ADV
.,ZE
,
Di-entry,N10
di,CS10
etsa,V
hore,CONJ
o,CSPERS
kgonwe,VAUX
ho,CN15
fihlelwa,V
ditshebeletso,N10
tse,ADJC10
hlano,ADJ10
tse,CS10
hodimo,NLOC
haholo,ADV
tseo,CD10
basebedisi,N02
ba,CS02
kenang,V
ho,PART
tsona,PROEMP10
.,ZE
,
Manane,N06
a,CS06
hlophisitswe,V
ka,PART
ho,CN15
ya,V
ka,PART
dipalopalo,N10
tsa,CPOSS10
maqephe,N06
ao,CD06
ho,CSINDEF
kenwang,V
ho,PART
ona,PROEMP06
.,ZE
,
Ho,CSINDEF
na,VCOP
le,PART
search,RV
box,RV
(,ZPL
lebokoso,N05
la,CPOSS05
ho,CN15
setjha,N07
),ZPR
maqepheng,N06
ohle,PROQUANT06
weposaeteng,N09
.,ZE
,
Ha,CONJ
o,CSPERS
kenya,V
lereo,N05
leo,CD05
o,CSPERS
batlang,VAUX
ho,CN15
le,CO05
setjha,V
",",ZM
weposaete,N09
yohle,PROQUANT09
e,CS09
tla,PART
setjhwa,V
bakeng,N07
sa,CPOSS07
mantswe,N06
ao,CD06
.,ZE
,
O,CSPERS
ka,PART
etsa,V
hape,ADV
le,PART
setjhe,N07
e,CS09
tswetseng,V
pele,NLOC
ka,PART
ho,CN15
kgetha,V
link,RV
ya,CPOSS09
Advanced,N09
search,N09
.,ZE
,
Mosebetsi,N01
wa,CPOSS01
setjhe,N07
ena,CD09
ke,VCOP
ho,CN15
phenyekolla,V
tlhahisoleseding,N09
e,CS09
mabapi,N06
le,PART
diweposaete,N10
tse,ADJC10
ding,ADJ10
tsa,CPOSS10
mmusoi,N03
.,ZE
,
Di-link,N10
tse,CS10
yang,V
diweposaeteng,N10
tsa,CPOSS10
ka,PART
ntle,NLOC
di,CS10
bontshwa,V
ka,PART
mantswe,N06
a,CS06
reng,V
',ZPR
outside,RV
link,RV
',ZPR
a,CS06
tla,VAUX
hlahella,V
lebokosong,N05
ha,CONJ
cursor,N09
ya,CPOSS09
hao,PROPOSSPERS
e,CS09
tsamaiswa,V
hodima,N16
link,RV
.,ZE
,
Weposaete,N09
e,CS09
tla,PART
buleha,V
ho,CN15
browser,N09
window,RV
e,ADJC09
ntjha,ADJ09
.,ZE
,
Makgetlo,N06
a,CPOSS06
ntjhafatso,N09
ya,CPOSS09
dintlha,N10
,
Weposaete,N09
e,CS09
ntjhafatsa,V
ka,PART
tsela,N09
e,CS09
tswellang,V
.,ZE
,
Leano,N05
la,CPOSS05
rona,PROPOSSPERS
ke,VCOP
la,CPOSS05
ho,CN15
fana,V
ka,PART
tlhahisoleseding,N09
ka,PART
mokgwa,N03
le,PART
ka,PART
nako,N09
eo,CD09
e,CS09
hlahellang,V
ka,PART
yona,PROEMP09
.,ZE
,
Le,PART
ha,CONJ
ho,CSINDEF
le,VCOP
jwalo,ADV
",",ZM
bahlahisi,N02
ba,CPOSS02
weposaete,N09
ya,CPOSS09
Ditshebeletso,N10
tsa,CPOSS10
Mmuso,N03
ba,CS02
ke,MNEG
ke,MNEG
ba,CS02
tiisetsa,V
tlhahisoleseding,N09
ya,CPOSS09
ha,CONJ
jwale,ADV
e,CS09
phatlalatswang,V
diweposaeteng,N10
tse,ADJC10
ding,ADJ10
tseo,CD10
re,CSPERS
nang,VCOP
le,PART
di-link,N10
le,PART
tsona,PROEMP10
.,ZE
,
Sheba,V
Dipehelo,N10
le,PART
Maemo,N06
",",ZM
temaneng,N09
ya,CPOSS09
4.3,RS
.,ZE
,
Ho,CS15
ikamahanya,V
le,PART
tlhahisoleseding,N09
,
Mafapha,N06
a,CPOSS06
mmuso,N03
a,CS06
lokela,VAUX
ho,CN15
ikamahanya,V
le,PART
tlhahisoleseding,N09
e,CS09
weposaeteng,N09
.,ZE
,
Mosebetsi,N03
ona,CD03
o,CS03
ile,VAUX
wa,CS01
fuwa,V
dimanejara,N10
tsa,CPOSS10
mafapha,N06
tseo,CD10
ho,CN15
sebedisanweng,V
le,PART
tsona,PROEMP10
",",ZM
e,CS09
leng,VCOP
tsona,PROEMP10
tse,CD10
ikarabelang,V
bakeng,N07
sa,CPOSS07
tlhahisoleseding,N09
e,CS09
phatlaladitsweng,V
weposaeteng,N09
.,ZE
,
Ba,CPOSS02
Dikgokahano,N10
tsa,CPOSS10
Mmuso,N03
e,CS09
leng,VCOP
Government,RV
Communications,RV
(,ZPL
GCIS,RA
),ZPR
ba,CS02
na,VCOP
le,PART
boikarabelo,N14
bakeng,N07
sa,CPOSS07
tsamaiso,N09
le,PART
nyalanyo,N09
ya,CPOSS09
dikahare,N10
tsa,CPOSS10
weposaete,N09
.,ZE
,
Difomete,N10
tsa,CPOSS10
ditokomane,N10
,
Fomete,N09
e,CS09
ka,PART
sehloohong,N07
ya,CPOSS09
tlhahisoleseding,N09
e,CCOP09
weposaeteng,N09
ena,CD09
ke,VCOP
ya,CPOSS09
HTML,RL
.,ZE
,
Le,PART
ha,CONJ
ho,CSINDEF
le,VCOP
jwalo,ADV
",",ZM
ho,CSINDEF
na,VCOP
le,PART
difomete,N10
tsa,CPOSS10
ditokomane,N10
tsa,CPOSS10
PDF,RK
bakeng,N07
sa,CPOSS07
ho,CN15
sireletsa,V
layout,N09
ya,CPOSS09
mantlha,N06
ya,CPOSS09
tsona,PROEMP10
.,ZE
,
Ha,CONJ
o,CSPERS
batla,VAUX
ho,CN15
bula,V
ditokomane,N10
tsa,CPOSS10
PDF,RK
",",ZM
o,CSPERS
lokela,VAUX
ho,CN15
ba,V
le,PART
Adobe,RV
Acrobat,RV
Reader,RV
4,RS
kapa,CONJ
ka,PART
hodimo,NLOC
ho,CSLOC
moo,CD18
khomputareng,N09
ya,CPOSS09
hao,PROPOSSPERS
.,ZE
,
Yona,PROEMP09
e,CS09
tla,PART
bula,V
ditokomane,N10
ka,PART
ho,CN15
toba,V
ho,PART
browser,N09
ya,CPOSS09
hao,PROPOSSPERS
.,ZE
,
Ka,PART
dinako,N10
tse,ADJC10
ding,ADJ10
ho,CN15
nka,V
nako,N09
e,ADJC09
telele,ADJ09
ho,CN15
bula,V
ditokomane,N10
tsa,CPOSS10
PDF,RK
.,ZE
,
Mona,CD18
re,CSPERS
ho,CO15
kgothaletsa,V
hore,CONJ
o,CSPERS
kenye,V
tokomane,N09
pele,NLOC
khomputareng,N09
ya,CPOSS09
hao,PROPOSSPERS
e,CS09
be,VAUX
o,CSPERS
e,CO09
bula,V
moo,CD18
.,ZE
,
Dikeletso,N10
tsa,CPOSS10
ho,CN15
kenya,V
ditokomane,N10
khomputareng,N09
ya,CPOSS09
hao,PROPOSSPERS
:,ZM
,
Ha,CONJ
o,CSPERS
sebedisa,V
Internet,N09
Explorer,N09
jwalo,ADV
ka,PART
browser,N09
ya,CPOSS09
hao,PROPOSSPERS
,
Ka,PART
mouse,N09
ya,CPOSS09
hao,PROPOSSPERS
",",ZM
right,N09
click,V
ho,PART
tokomane,N09
eo,CD09
o,CSPERS
batlang,VAUX
ho,CN15
e,CS09
kenya,V
.,ZE
,
Ho,PART
drop-down,N09
menu,N09
",",ZM
kgetha,V
',ZPR
Save,RV
target,N09
as,RV
',ZPR
.,ZE
,
Ho,PART
window,N09
ya,CPOSS09
',ZPR
Save,RV
as,RV
',ZPR
",",ZM
kgetha,V
sebaka,N07
ho,PART
hard,N09
drive,N09
ya,CPOSS09
hao,PROPOSSPERS
moo,CD18
o,CSPERS
batlang,VAUX
ho,CN15
boloka,V
tokomane,N09
e,CS09
be,VAUX
o,CSPERS
tlilika,V
ho,PART
',ZPR
Save,RV
',ZPR
button,N09
.,ZE
,
Faele,N09
e,CS09
tla,PART
kena,V
sebakeng,N07
seo,CD07
o,CSPERS
se,CO07
kgethileng,V
.,ZE
,
Bula,V
Acrobat,RV
Reader,RV
application,RV
ya,CPOSS09
hao,PROPOSSPERS
e,CS09
be,VAUX
o,CSPERS
bula,V
le,PART
ditokomane,N10
tseo,CD10
o,CSPERS
di,CO10
kentseng,V
.,ZE
,
Ha,CONJ
o,CSPERS
sebedisa,V
Netscape,RV
jwalo,ADV
ka,PART
browser,N09
ya,CPOSS09
hao,PROPOSSPERS
,
Ka,PART
mouse,N09
ya,CPOSS09
hao,PROPOSSPERS
",",ZM
tobetsa,V
shift,N09
mme,CONJ
o,CSPERS
tlilike,V
ho,PART
link,RV
ya,CPOSS09
tokomane,N09
eo,CD09
o,CSPERS
batlang,VAUX
ho,CN15
e,CO09
boloka,V
.,ZE
,
Ho,PART
window,RV
ya,CPOSS09
',ZPR
Save,RV
As,RV
',ZPR
kgetha,V
sebaka,N07
ho,PART
hard,N09
drive,N09
ya,CPOSS09
hao,PROPOSSPERS
moo,CD18
o,CSPERS
batlang,VAUX
ho,CN15
kenya,V
tokomane,N09
e,CS09
be,VAUX
o,CSPERS
tobetsa,V
konopo,N09
ya,CPOSS09
',ZPR
Save,RV
',ZPR
.,ZE
,
Faele,N09
e,CS09
tla,V
e,CS09
se,VAUX
e,CS09
kena,V
sebakeng,N07
seo,CD07
o,CSPERS
se,CO07
kgethileng,V
.,ZE
,
Bula,V
Acrobat,N09
Reader,N09
Application,N09
ya,CPOSS09
hao,PROPOSSPERS
e,CS09
be,VAUX
o,CSPERS
bula,V
le,PART
ditokomane,N10
tseo,CD10
o,CSPERS
di,CO10
kentseng,V
moo,CD18
.,ZE
,
Na,QUE
o,CSPERS
hloka,V
thuso,N09
ka,PART
mathata,N06
ao,CD06
o,CSPERS
teanang,V
le,PART
ona,PROEMP06
weposaeteng,N09
?,ZE
,
O,CSPERS
kotjwa,V
hore,CONJ
o,CSPERS
iteanye,V
le,PART
rona,PROPOSSPERS
mona,CD18
(,ZPL
electronic@gcis.gov.za,RV
),ZPR
ha,CONJ
o,CSPERS
ka,PART
teana,V
le,PART
mathata,N06
ka,PART
weposaete,N09
.,ZE
,
Ha,CONJ
mokgatlo,N03
",",ZM
khampani,N09
",",ZM
khampani,N09
ya,CPOSS09
ba,CPOSS02
mmalwa,N03
(,ZPL
CC,RK
),ZPR
e,CS09
sa,MNEG
kgone,V
kapa,CONJ
e,CS09
ke,MNEG
ke,MNEG
ya,CS09
lefa,V
melato,N04
kapa,CONJ
ho,CN15
phethahatsa,V
ditlamo,N10
tsa,CPOSS10
yona,PROEMP09
(,ZPL
ka,PART
lebaka,N05
la,CPOSS05
ho,CN15
hloka,V
tjhelete,N09
ya,CPOSS09
ho,CN15
lefa,V
melato,N04
",",ZM
taolo,N09
e,ADJC09
mpe,ADJ09
kapa,CONJ
lebaka,N05
lefe,ENUM
kapa,CONJ
lefe,ENUM
le,ADJC05
leng,ADJ05
),ZPR
",",ZM
Molaodi,N01
Kakaretso,N09
wa,CPOSS01
Lefapha,N05
la,CPOSS05
Kgwebo,N09
le,PART
Indasteri,N09
a,CS01
ka,PART
laola,V
kapa,CONJ
a,CS01
fedisa,V
seahelo,N07
sa,CPOSS07
kgwebo,N09
.,ZE
,
Mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
",",ZM
setho,N07
sefe,ENUM
kapa,CONJ
sefe,ENUM
sa,CPOSS07
mokgatlo,N03
kapa,CONJ
motho,N01
ofe,ENUM
kapa,CONJ
ofe,ENUM
ya,CS01
nang,VCOP
le,PART
thahasello,N09
a,CS01
ka,PART
etsa,V
kopo,N09
makgotleng,N06
a,CPOSS06
molao,N03
hore,CONJ
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
o,CS03
laolwe,V
ke,PART
Molaodi,N01
Kakaretso,N09
kapa,CONJ
o,CS03
fediswe,V
.,ZE
,
Lekgotla,N05
la,CPOSS05
molao,N03
le,CS05
duletseng,V
kopo,N09
ena,CD09
le,CS05
tlameha,VAUX
ho,CN15
ba,V
karolo,N09
ya,CPOSS09
Lekgotla,N05
le,CS05
Phahameng,V
kapa,CONJ
Lekgotla,N05
la,CPOSS05
Mmaseterata,N01a
le,CS05
nang,VCOP
le,PART
matla,N06
a,CPOSS05
ho,CN15
laola,V
toka,N09
sebakeng,N07
seo,CD07
mokgatlo,N03
o,CS03
leng,VCOP
ho,PART
sona,PROEMP07
kapa,CONJ
o,CS03
sebetsang,V
ho,PART
sona,PROEMP07
.,ZE
,
Lekgotla,N05
le,PART
lona,PROEMP05
le,CS05
ka,PART
etsa,V
qeto,N09
ka,PART
mokgwa,N03
ona,CD03
ha,CONJ
ho,CSINDEF
le,VCOP
molemong,N03
le,PART
qetong,N09
e,CS09
nang,VCOP
le,PART
toka,N09
ka,PART
ho,CN15
fetisisa,V
maemong,N06
ao,CD06
.,ZE
,
Ha,CONJ
lekgotla,N05
le,CS05
etsa,V
qeto,N09
ya,CPOSS09
hore,CONJ
Molaodi,N01
Kakaretso,N09
o,CS01
tlameha,VAUX
ho,CS15
laola,V
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
",",ZM
o,CS01
tla,PART
ba,V
le,PART
matla,N06
a,CPOSS06
ho,CN15
laola,V
merero,N04
ya,CPOSS04
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
ho,CN15
latela,V
dipehelo,N10
tsa,CPOSS10
Companies,RV
Act,RV
",",ZM
1973,RS
(,ZPL
Molao,N03
wa,CPOSS03
Dikhampani,N10
),ZPR
.,ZE
,
Ha,CONJ
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
o,CS03
etsa,V
kopo,N09
e,CS09
ngotsweng,V
ho,PART
Molaodi,N01
Kakaretso,N09
",",ZM
o,CS01
tla,PART
hlakola,V
ngodiso,N09
ya,CPOSS09
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
ha,CONJ
a,CS01
kgotsofetse,V
hore,CONJ
,
qeto,N09
e,CS09
kgothaletsang,VAUX
ho,CN15
hlakola,V
ngodiso,N09
e,CS09
fihlelletswe,V
phuthehong,N09
e,CS09
neng,VAUX
e,CS09
duletswe,V
ke,PART
bongata,N14
bo,CS14
kgotsofatsang,V
ba,CPOSS14
ditho,N08
tsa,CPOSS10
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
;,ZM
,
qeto,N09
e,CS09
fihlelletswe,V
ke,PART
bongata,N14
ba,CPOSS14
ditho,N08
tse,CS10
teng,NLOC
kapa,CONJ
tse,CS10
nang,VCOP
le,PART
boemedi,N14
phuthehong,N09
;,ZM
le,PART
,
ha,CONJ
dintlha,N10
tsohle,PROQUANT10
tse,CS10
tshwanelehileng,V
tse,CS10
lokelang,VAUX
ho,CN15
tadingwa,V
ka,PART
mokgwa,N03
o,CS03
amohelehileng,V
pele,NLOC
ho,CN15
hlakolwa,V
ngodiso,N09
",",ZM
di,CS10
tshohlilwe,V
",",ZM
tse,CS10
kenyeletsang,V
mokgwa,N03
oo,CD03
thepa,N09
le,PART
ditlamo,N10
tsa,CPOSS10
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
di,CS10
tla,PART
sebetswa,V
ka,PART
wona,PROEMP03
.,ZE
,
Ha,CONJ
lekgotla,N05
la,CPOSS05
molao,N03
le,CS05
fihlella,V
qeto,N09
ya,CPOSS09
ho,CN15
fedisa,V
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
",",ZM
le,CS05
tla,PART
fihlella,V
qeto,N09
ya,CPOSS09
hore,CONJ
thepa,N09
ya,CPOSS09
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
e,CS09
tla,PART
arolwa,V
jwang,ADV
ka,PART
ho,CSINDEF
lekanang,V
le,PART
ka,PART
toka,N09
.,ZE
,
Lekgotla,N05
le,CS05
tla,PART
ela,V
hloko,N09
dikgothaletso,N10
dife,ENUM
kapa,CONJ
dife,ENUM
tseo,CD10
Molaodi,N01
Kakaretso,N09
a,CS01
ka,PART
bang,V
o,CS01
di,CO10
entse,V
malebana,ADV
le,PART
kabo,N09
ya,CPOSS09
thepa,N09
.,ZE
,
Ha,CONJ
Molaodi,N01
Kakaretso,N09
kapa,CONJ
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
",",ZM
setho,N07
sefe,ENUM
kapa,CONJ
sefe,ENUM
sa,CPOSS07
mokgatlo,N03
kapa,CONJ
motho,N01
ofe,ENUM
kapa,CONJ
ofe,ENUM
ya,CS01
nang,VCOP
le,PART
thahasello,N09
a,CS01
etsa,V
kopo,N09
ya,CPOSS09
hore,CONJ
mokgatlo,N03
kapa,CONJ
mokgatlo,N03
wa,CPOSS03
nakwana,N09
o,CS03
laolwe,V
ke,PART
Molaodi,N01
Kakaretso,N09
kapa,CONJ
o,CS03
fediswe,V
",",ZM
Letona,N05
le,CS05
ka,PART
etsa,V
pallo,N09
